component,feature,importance
land,num__land_area_m2,0.7683690003244779
land,cat__settlement_type_község,0.02347919891369153
land,cat__settlement_type_város,0.023051517346944182
land,cat__county_Szabolcs-Szatmár-Bereg,0.01805947476530989
land,cat__county_Békés,0.01573532657616556
land,cat__county_Borsod-Abaúj-Zemplén,0.014324344957051505
land,cat__county_Jász-Nagykun-Szolnok,0.012713536197820946
land,cat__county_Bács-Kiskun,0.011121010799371916
land,cat__county_Hajdú-Bihar,0.010753857464102023
land,cat__county_Baranya,0.010523886390583699
land,cat__county_Pest,0.009967019519480314
land,cat__settlement_type_nagyközség,0.009454157986477358
land,cat__county_Nógrád,0.009259177548674502
land,cat__county_Somogy,0.0091689818631095
land,cat__county_Fejér,0.00888720364839912
land,cat__county_Heves,0.008437143509857328
land,cat__settlement_type_megyei jogú város,0.007516720511160897
land,cat__county_Tolna,0.007029803685183498
land,cat__county_Csongrád-Csanád,0.005280339393681165
land,cat__county_Győr-Moson-Sopron,0.004043548892605016
land,cat__county_Komárom-Esztergom,0.003929674526130279
land,cat__county_Zala,0.0031267250244348967
land,cat__county_Veszprém,0.00280666736185563
land,cat__county_Vas,0.002404793543828503
land,cat__settlement_type_főváros,0.00030223023762562535
land,cat__county_Budapest,0.00025465901197720776
land,cat__property_type_Lakóház,0.0
building,num__building_area_m2,0.4960973244503064
building,num__condition,0.14624199731526472
building,cat__settlement_type_város,0.02718771612416643
building,cat__property_type_Lakás,0.02593106778588576
building,cat__county_Szabolcs-Szatmár-Bereg,0.025629193998943058
building,cat__settlement_type_község,0.025327393096070086
building,cat__county_Hajdú-Bihar,0.022550256829096237
building,cat__county_Borsod-Abaúj-Zemplén,0.022183680124347568
building,cat__county_Békés,0.018731675422407133
building,cat__county_Baranya,0.01756935216619806
building,cat__county_Jász-Nagykun-Szolnok,0.01591706746223803
building,cat__county_Nógrád,0.015120028389347142
building,cat__county_Pest,0.014874216733942002
building,cat__county_Heves,0.013199153797593956
building,cat__county_Fejér,0.01292641865661859
building,cat__county_Somogy,0.01222908927944125
building,cat__settlement_type_nagyközség,0.01117963460933077
building,cat__settlement_type_megyei jogú város,0.010977002947178311
building,cat__county_Bács-Kiskun,0.01024344607057338
building,cat__county_Komárom-Esztergom,0.009613889609747232
building,cat__county_Tolna,0.008683422532230922
building,cat__county_Csongrád-Csanád,0.006717256174554451
building,cat__county_Veszprém,0.006417746346221216
building,cat__property_type_Lakóház,0.00637201465040105
building,cat__county_Győr-Moson-Sopron,0.005526508914130032
building,cat__county_Vas,0.004646500966827269
building,cat__county_Budapest,0.002982064852441708
building,cat__county_Zala,0.0027933724516128666
building,cat__settlement_type_főváros,0.0021315082428845352
