metric;property_type;count;min;p01;p05;p25;median;p75;p95;p99;max
ksh_baseline_value_huf;Lakás;1343;3970810.241970282;7451367.990026939;10848090.181824632;17963403.03336995;24280614.22697455;35358567.07280916;53073157.76960085;64610486.32783825;80110492.84936215
ksh_baseline_value_huf;Lakóház;7794;1656000.0;3567900.0;6350650.0;11401275.205084119;18348000.0;29256843.75;57544662.00000024;89412782.92704205;195278720.0000013
predicted_market_value;Lakás;1343;4099732.409017657;7454282.389167752;10552971.711125882;17712407.606355894;24805617.119191263;35530993.76448036;52830404.57149051;65763914.89948788;86234788.57683587
predicted_market_value;Lakóház;7794;1637840.6130116817;3560384.6861717477;6290887.464820711;11434718.616937373;18244504.66573652;29269566.455995336;57463708.46698021;88905222.94370997;182622532.09979865
predicted_structural_score;Lakás;1343;0.0608989939934878;0.07840187225290397;0.13129814633760967;0.29257314968505;0.5395247773906309;0.6869831680110078;0.8688039263973637;0.9223547089811636;0.9526017169744972
predicted_structural_score;Lakóház;7794;0.130302260168255;0.2593938275393047;0.3194421346518397;0.4267940355359436;0.5048963091347196;0.5798411967816394;0.6904545218995981;0.7689897001484015;0.8778605836224249
predicted_land_structural_score;Lakás;1343;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
predicted_land_structural_score;Lakóház;7794;0.0638024773524432;0.1218322208814118;0.1982712103971425;0.36655317365331724;0.5034978076148617;0.6397890170028897;0.8097817856656625;0.9049595856728748;0.990965530665062
predicted_building_structural_score;Lakás;1343;0.0608989939934878;0.07840187225290397;0.13129814633760967;0.29257314968505;0.5395247773906309;0.6869831680110078;0.8688039263973637;0.9223547089811636;0.9526017169744972
predicted_building_structural_score;Lakóház;7794;0.0758354200801977;0.21364751399147436;0.2770482516561156;0.40799165334639687;0.5088639315629849;0.5986773738467138;0.7318514892926572;0.8317528191866124;0.935036750128106
land_value_ratio;Lakás;1343;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
land_value_ratio;Lakóház;7794;0.0;0.0;0.015496433102950256;0.05705197065046763;0.11607157279039187;0.22653271235422737;0.6809416588542049;0.9999999259311766;0.9999999999999999
building_value_ratio;Lakás;1343;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
building_value_ratio;Lakóház;7794;1.270964506682117e-16;7.406882333769743e-08;0.31905834114579446;0.7734672876457727;0.8839284272096082;0.9429480293495323;0.9845035668970498;1.0;1.0
adjustment_factor;Lakás;1343;0.8243595975973952;0.8313607489011616;0.852519258535044;0.91702925987402;1.0158099109562524;1.0747932672044032;1.1475215705589454;1.1689418835924652;1.181040686789799
adjustment_factor;Lakóház;7794;0.852120904067302;0.9037575310157219;0.9277768538607359;0.9707176142143776;1.001958523653888;1.0319364787126557;1.0761818087598394;1.1075958800593606;1.15114423344897
